id,sura_id,index,text,juz,page
1,1,1,اِ۬لْحَمْدُ لِلهِ رَبِّ اِ۬لْعَٰلَمِينَ,1,1
2,1,2,اَ۬لرَّحْمَٰنِ اِ۬لرَّحِيمِ,1,1
3,1,3,مَلِكِ يَوْمِ اِ۬لدِّينِۖ,1,1
4,1,4,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُۖ,1,1
5,1,5,اُ۪هْدِنَا اَ۬لصِّرَٰطَ اَ۬لْمُسْتَقِيمَ,1,1
6,1,6,صِرَٰطَ اَ۬لذِينَ أَنْعَمْتَ عَلَيْهِمْ,1,1
7,1,7,غَيْرِ اِ۬لْمَغْضُوبِ عَلَيْهِمْ وَلَا اَ۬لضَّآلِّينَۖ,1,1
8,2,1,أَلَٓمِّٓۖ ذَٰلِكَ اَ۬لْكِتَٰبُ لَا رَيْبَۖ فِيهِ هُدىٗ لِّلْمُتَّقِينَ,1,2
9,2,2,اَ۬لذِينَ يُومِنُونَ بِالْغَيْبِ وَيُقِيمُونَ اَ۬لصَّلَوٰةَ وَمِمَّا رَزَقْنَٰهُمْ يُنفِقُونَۖ,1,2
10,2,3,وَالذِينَ يُومِنُونَ بِمَآ أُنزِلَ إِلَيْكَ وَمَآ أُنزِلَ مِن قَبْلِكَ وَبِالَاخِرَةِ هُمْ يُوقِنُونَ,1,2
11,2,4,أُوْلَٰٓئِكَ عَلَىٰ هُدىٗ مِّن رَّبِّهِمْۖ وَأُوْلَٰٓئِكَ هُمُ اُ۬لْمُفْلِحُونَۖ,1,2
12,2,5,إِنَّ اَ۬لذِينَ كَفَرُواْ سَوَآءٌ عَلَيْهِمُۥٓ ءَآنذَرْتَهُمُۥٓ أَمْ لَمْ تُنذِرْهُمْ لَا يُومِنُونَۖ,1,3
