sura_id,ayah_index,ayah_text,model_text,start_time,end_time,similarity_score,status,notes
74,1,يَٰٓأَيُّهَا ٱلۡمُدَّثِّرُ,يَا أَيُّهَا الْمُدَّثِّينَ,5.38,8.53,0.755,Success,
74,2,قُمۡ فَأَنذِرۡ,قُمْ فَأَنْذِرْ,9.46,11.07,0.828,Success,
74,3,وَرَبَّكَ فَكَبِّرۡ,وَرَبَّكَ سَكَبِّرَ,11.94,13.71,0.895,Success,
74,4,وَثِيَابَكَ فَطَهِّرۡ,وَثِيَابَكَ فَطَهِّي,14.56,16.56,0.927,Success,
74,5,وَٱلرُّجۡزَ فَٱهۡجُرۡ,وَالرُّجْزَ فَاهْجُرْ,17.51,19.13,0.762,Success,
74,6,وَلَا تَمۡنُن تَسۡتَكۡثِرُ,وَلَا تَمْنُنْ تَسْتَ,20.08,22.51,0.766,Success,
74,7,وَلِرَبِّكَ فَٱصۡبِرۡ,وَالْمُؤْمِنِينَ وَلِرَبِّكَ فَاصْبِرْ,22.82,25.62,0.61,Success,
74,8,فَإِذَا نُقِرَ فِي ٱلنَّاقُورِ,فَإِذَا نُقِرَ فِي النَّاقُورِ,26.63,30.43,0.967,Success,
74,9,فَذَٰلِكَ يَوۡمَئِذٖ يَوۡمٌ عَسِيرٌ,فَذَلِكَ يَوْمَئِذٍ يَوْمٌ عَسِيرٌ,31.22,35.72,0.899,Success,
74,10,عَلَى ٱلۡكَٰفِرِينَ غَيۡرُ يَسِيرٖ,عَلَى الْكَافِرِينَ غَيْرُ يَسِيرٍ,36.54,40.36,0.853,Success,
74,11,ذَرۡنِي وَمَنۡ خَلَقۡتُ وَحِيدٗا,ذَرْنِي وَمَنْ خَلَقْتُ وَحِيدًا,41.41,44.67,0.875,Success,
74,12,وَجَعَلۡتُ لَهُۥ مَالٗا مَّمۡدُودٗا,وَجَعَلْتُ لَهُ مَالًا مَمْدُودًا,45.44,49.16,0.853,Success,
74,13,وَبَنِينَ شُهُودٗا,وَبَنِينَ شُهُودًا,49.97,52.0,0.944,Success,
74,14,وَمَهَّدتُّ لَهُۥ تَمۡهِيدٗا,وَمَهَّدَ عُيُ لَهُ تَمْهِيدًا,52.74,55.99,0.793,Success,
74,15,ثُمَّ يَطۡمَعُ أَنۡ أَزِيدَ,ثُمَّ يَطْمَعُ أَنْ أَزِيدَ,56.79,60.23,0.926,Success,
74,16,كـَلَّآۖ إِنَّهُۥ كَانَ لِأٓيَٰتِنَا عَنِيدٗا,كَلَّا إِنَّهُ كَانَ لِآيَاتِنَا عَنِيدًا,61.01,67.02,0.874,Success,
74,17,سَأُرۡهِقُهُۥ صَعُودًا,سَأُرْهِقُهُ صَعُودًا,68.04,70.39,0.93,Success,
74,18,إِنَّهُۥ فَكَّرَ وَقَدَّرَ,إِنَّهُ فَكَّرَ وَقَدَّرَ,71.2,74.13,0.98,Success,
74,19,فَقُتِلَ كَيۡفَ قَدَّرَ,فَقُتِلَ كَيْفَ قَدَّرَ,74.9,76.99,0.957,Success,
